# OUT_OF_SCOPE — série de valores, não entra na skill.
# Manutenção separada (regra 4 de 01-plano-extracao.md). Aqui só como
# evidência de conferência contra a tabela mantida à parte.
# documento=manual-de-calculo-trabalhista_2016-1.pdf emissor=TRT-3, Secretaria de Cálculos Judiciais, julho/2016 offset_paginacao=0
# 'Parcela mínima equivalente a um salário mínimo' é regra de piso do
# original, impressa fora da moldura da tabela — ver o relatório.
pagina_pdf,item,vigencia_original,ordem,faixa_salario_medio,valor_da_parcela
451,18.9,"Jan/13 a Dez/13 (SM = 678,00)",1,"Até R$ 1.090,43","salário médio x 0,8 (80%)"
451,18.9,"Jan/13 a Dez/13 (SM = 678,00)",2,"Mais de R$ 1.090,43 a R$ 1.817,56","O que exceder a 1.090,43 multiplica-se por 0,5 (50%) e soma-se a 872,34 (80% s/ 1.090,43)"
451,18.9,"Jan/13 a Dez/13 (SM = 678,00)",3,"Acima de R$ 1.817,56","O valor da parcela será de R$ 1.235,91 invariavelmente"
451,18.9,"Jan/14 a Dez/14 (SM = 724,00)",1,"Até R$ 1.1151,06","salário médio x 0,8 (80%)"
451,18.9,"Jan/14 a Dez/14 (SM = 724,00)",2,"Mais de R$ 1.151,06 a R$ 1.918,62","O que exceder a 1.151,06 multiplica-se por 0,5 (50%) e soma-se a 920,85 (80% s/ 1.151,06)"
451,18.9,"Jan/14 a Dez/14 (SM = 724,00)",3,"Acima de R$ 1.918,62","O valor da parcela será de R$ 1.304,63 invariavelmente"
451,18.9,"Jan/15 a Dez/15 (SM = 788,00)",1,"Até R$ 1.222,77","salário médio x 0,8 (80%)"
451,18.9,"Jan/15 a Dez/15 (SM = 788,00)",2,"Mais de R$ 1.222,77 a R$ 2.038,15","O que exceder a 1.222,77 multiplica-se por 0,5 (50%) e soma-se a 978,22 (80% s/ 1.222,77)"
452,18.9,"Jan/15 a Dez/15 (SM = 788,00)",3,"Acima de R$ 2.038,15","O valor da parcela será de R$ 1.385,91 invariavelmente"
452,18.9,"Jan/16 a Dez/16 (SM = 880,00)",1,"Até R$ 1.360,70","salário médio x 0,8 (80%)"
452,18.9,"Jan/16 a Dez/16 (SM = 880,00)",2,"Mais de R$ 1.360,71 a R$ 2.268,05","O que exceder a 1.360,70 multiplica-se por 0,5 (50%) e soma-se a 1.088,56 (80% s/ 1.360,70)"
452,18.9,"Jan/16 a Dez/16 (SM = 880,00)",3,"Acima de R$ 2.268,05","O valor da parcela será de R$ 1.542,24 invariavelmente"
452,18.9,"Jan/17 a Dez/17 (SM = 937,00)",1,"Até R$ 1.450,23","salário médio x 0,8 (80%)"
452,18.9,"Jan/17 a Dez/17 (SM = 937,00)",2,"Mais de R$ 1.450,24 a R$ 2.417,29","O que exceder a 1.450,23 multiplica-se por 0,5 (50%) e soma-se a 1.160,18 (80% s/ 1.450,23)"
452,18.9,"Jan/17 a Dez/17 (SM = 937,00)",3,"Acima de R$ 2.417,29","O valor da parcela será de R$ 1.643,72 invariavelmente"
